country,zip,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key","Statcan Census Division id","Statcan Census Division Name","Statcan Census Division Type","Statcan Census Division Type Description","Statcan Census Consolidated Subdivision id","Statcan Census Consolidated Subdivision Name","Statcan Census Subdivision id","Statcan Census Subdivision Name","Statcan Census Subdivision Type","Statcan Census Subdivision Type Description","Statcan Census Economic Region","Statcan Census Statistical Area Code","Statcan Census Statistical Area Code Description","Statcan Census Statistical Area Type","Statcan Census Statistical Area Type Description","Statcan Census CMA/CA id","Statcan Census CMA/CA Name","Statcan Census CMA/CA Type","Statcan Census CMA/CA Type Description","Statcan Census Tract","Statcan Census Year","Provincial/Territorial Riding OCD ID","Provincial/Territorial Riding Name (French)","Provincial/Territorial Riding Name (English)","Provincial/Territorial Riding Source","Federal Riding Code","Federal Riding OCD ID","Federal Riding Name (French)","Federal Riding Name (English)","Federal Riding Source"
Canada,M1K1M2,43.718014,-79.25624,1,place,,,"Scarborough, ON M1K",,,,,Scarborough,ON,,M1K,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350345.00,2021,ocd-division/country:ca/province:on/ed:98-2015,"Scarborough Southwest","Scarborough Southwest","Elections Ontario",35096,ocd-division/country:ca/ed:35096-2023,Scarborough-Sud-Ouest,"Scarborough Southwest","Federal Redistribution"
Canada,M6E4X3,43.689508,-79.462886,1,place,,,"York, ON M6E",,,,,York,ON,,M6E,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350160.00,2021,ocd-division/country:ca/province:on/ed:19-2015,Davenport,Davenport,"Elections Ontario",35022,ocd-division/country:ca/ed:35022-2023,Davenport,Davenport,"Federal Redistribution"
Canada,M4K3W5,43.690552,-79.349563,1,place,,,"East York, ON M4K",,,,,"East York",ON,,M4K,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350185.02,2021,ocd-division/country:ca/province:on/ed:toronto-danforth,"Toronto - Danforth","Toronto - Danforth","Elections Ontario",35110,ocd-division/country:ca/ed:35110-2023,Toronto—Danforth,Toronto—Danforth,"Federal Redistribution"
Canada,M4W2N1,43.672106,-79.384399,1,place,,,"Toronto, ON M4W",,,,,Toronto,ON,,M4W,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350088.00,2021,ocd-division/country:ca/province:on/ed:university-rosedale,"University - Rosedale","University - Rosedale","Elections Ontario",35112,ocd-division/country:ca/ed:35112-2023,University—Rosedale,University—Rosedale,"Federal Redistribution"
Canada,M6G2N1,43.681221,-79.418054,1,place,,,"Toronto, ON M6G",,,,,Toronto,ON,,M6G,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350116.00,2021,ocd-division/country:ca/province:on/ed:toronto-st._paul~s,"Toronto - St. Paul's","Toronto - St. Paul's","Elections Ontario",35111,ocd-division/country:ca/ed:35111-2023,"Toronto—St. Paul's","Toronto—St. Paul's","Federal Redistribution"
Canada,M6G2C4,43.681834,-79.418872,1,place,,,"Toronto, ON M6G",,,,,Toronto,ON,,M6G,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350116.00,2021,ocd-division/country:ca/province:on/ed:toronto-st._paul~s,"Toronto - St. Paul's","Toronto - St. Paul's","Elections Ontario",35111,ocd-division/country:ca/ed:35111-2023,"Toronto—St. Paul's","Toronto—St. Paul's","Federal Redistribution"
Canada,M5S2P9,43.65683,-79.408162,1,place,,,"Toronto, ON M5S",,,,,Toronto,ON,,M5S,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350058.00,2021,ocd-division/country:ca/province:on/ed:university-rosedale,"University - Rosedale","University - Rosedale","Elections Ontario",35112,ocd-division/country:ca/ed:35112-2023,University—Rosedale,University—Rosedale,"Federal Redistribution"
Canada,M5R2T1,43.669166,-79.404616,1,place,,,"Toronto, ON M5R",,,,,Toronto,ON,,M5R,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350091.01,2021,ocd-division/country:ca/province:on/ed:university-rosedale,"University - Rosedale","University - Rosedale","Elections Ontario",35112,ocd-division/country:ca/ed:35112-2023,University—Rosedale,University—Rosedale,"Federal Redistribution"
Canada,M6H1L6,43.661616,-79.428775,1,place,,,"Toronto, ON M6H",,,,,Toronto,ON,,M6H,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350095.00,2021,ocd-division/country:ca/province:on/ed:19-2015,Davenport,Davenport,"Elections Ontario",35022,ocd-division/country:ca/ed:35022-2023,Davenport,Davenport,"Federal Redistribution"
Canada,M4M2V8,43.662828,-79.338589,1,place,,,"Toronto, ON M4M",,,,,Toronto,ON,,M4M,CA,"CanVec+ by Natural Resources Canada",,3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350028.02,2021,ocd-division/country:ca/province:on/ed:toronto-danforth,"Toronto - Danforth","Toronto - Danforth","Elections Ontario",35110,ocd-division/country:ca/ed:35110-2023,Toronto—Danforth,Toronto—Danforth,"Federal Redistribution"
